strain,amr_determinant,amr_class,source_entity,source_layer,target_entity,target_layer,relationship,path_length,node_sequence,edge_sequence,evidence_type,evidence_source,observed_status
MS_14387,blaTEM-1b,beta_lactam,FVE81_RS25140,genome,FVE81_RS25140_RNA,transcriptome,rna_quantified,0,,,directly_observed,aligned_multiomics.csv (RNA_RPMI/RNA_Sera),observed
MS_14387,blaTEM-1b,beta_lactam,FVE81_RS25140,genome,WP_000027057.1,proteome,protein_quantified,0,,,directly_observed,aligned_multiomics.csv (Protein_RPMI/Protein_Sera),observed
MS_14387,blaTEM-1b,beta_lactam,FVE81_RS25140,genome,FVE81_RS25135,genome,genomic_proximity,1,FVE81_RS25140;FVE81_RS25135,genomic_proximity,graph_derived,edges_gene_genomic_proximity_gene.csv,graph_derived
MS_14387,blaTEM-1b,beta_lactam,FVE81_RS25140,genome,FVE81_RS25145,genome,genomic_proximity,1,FVE81_RS25140;FVE81_RS25145,genomic_proximity,graph_derived,edges_gene_genomic_proximity_gene.csv,graph_derived
MS_14387,blaTEM-1b,beta_lactam,WP_000027057.1,hypergraph,Triple_FVE81_RS25140,hypergraph,hyperedge_membership,1,WP_000027057.1;Triple_FVE81_RS25140,member_of:multi_omics_triple,graph_derived,hyperedges.csv,graph_derived
MS_14387,blaTEM-1b,beta_lactam,WP_000027057.1,hypergraph,map01501,hypergraph,hyperedge_membership,1,WP_000027057.1;map01501,member_of:kegg_pathway,graph_derived,hyperedges.csv,graph_derived
MS_14387,blaTEM-1b,beta_lactam,WP_000027057.1,hypergraph,ko01501,hypergraph,hyperedge_membership,1,WP_000027057.1;ko01501,member_of:kegg_pathway,graph_derived,hyperedges.csv,graph_derived
MS_14387,blaTEM-1b,beta_lactam,WP_000027057.1,hypergraph,ko01130,hypergraph,hyperedge_membership,1,WP_000027057.1;ko01130,member_of:kegg_pathway,graph_derived,hyperedges.csv,graph_derived
MS_14387,blaTEM-1b,beta_lactam,WP_000027057.1,hypergraph,map01130,hypergraph,hyperedge_membership,1,WP_000027057.1;map01130,member_of:kegg_pathway,graph_derived,hyperedges.csv,graph_derived
MS_14387,blaTEM-1b,beta_lactam,WP_000027057.1,hypergraph,COG_V: Defense mechanisms,hypergraph,hyperedge_membership,1,WP_000027057.1;COG_V: Defense mechanisms,member_of:cog_category,graph_derived,hyperedges.csv,graph_derived
