GeneID	COG_category	Description	Preferred_name	KEGG_ko	KEGG_Pathway
WP_000002283	H	Catalyzes the breakage of the C-P bond in alpha-D-ribose 1-methylphosphonate 5-phosphate (PRPn) forming alpha-D-ribose	phnJ	ko:K06163	ko00440,map00440
WP_000002542	U	Belongs to the peptidase S26 family	lepB	ko:K03100	ko02024,ko03060,map02024,map03060
WP_000002913	M	Recycling of diacylglycerol produced during the turnover of membrane phospholipid	dgkA	ko:K00901	ko00561,ko00564,ko01100,ko01110,ko04070,ko04072,ko05231,map00561,map00564,map01100,map01110,map04070,map04072,map05231
WP_000002953	S	Globally modulates RNA abundance by binding to RNase E (Rne) and regulating its endonucleolytic activity. Can modulate Rne action in a substrate-dependent manner by altering the composition of the degradosome	rraB	ko:K09893	-
WP_000003071	J	Belongs to the class-II aminoacyl-tRNA synthetase family	lysS	ko:K04567	ko00970,map00970
WP_000003128	S	-	ykgH	-	-
WP_000003141	S	von Willebrand factor type A domain	yegL	-	-
WP_000003229	U	VirB8 protein	triG	ko:K03203	ko03070,map03070
WP_000003312	J	Specifically methylates position 2 of adenine 2503 in 23S rRNA and position 2 of adenine 37 in tRNAs	rlmN	ko:K06941	-
WP_000003377	U	One of the proteins required for the normal export of preproteins out of the cell cytoplasm. It is a molecular chaperone that binds to a subset of precursor proteins, maintaining them in a translocation-competent state. It also specifically binds to its receptor SecA	secB	ko:K03071	ko02024,ko03060,ko03070,map02024,map03060,map03070
WP_000003631	C	Hydrogenase maturation protease	hyaD	ko:K03605	-
WP_000003742	S	-	-	-	-
WP_000003806	J	Belongs to the class-II aminoacyl-tRNA synthetase family	lysS	ko:K04567	ko00970,map00970
WP_000003820	F	Component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)	aceE	ko:K00163	ko00010,ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00620,map01100,map01110,map01120,map01130,map01200
WP_000004074	Q	Catalyzes the conversion of taurine and alpha ketoglutarate to sulfite, aminoacetaldehyde and succinate. Required for the utilization of taurine (2-aminoethanesulfonic acid) as an alternative sulfur source. Pentane-sulfonic acid, 3- (N-morpholino)propanesulfonic acid and 1,3-dioxo-2- isoindolineethanesulfonic acid are also substrates for this enzyme	tauD	ko:K03119	ko00430,ko00920,map00430,map00920
WP_000004399	I	Catalyzes the reversible dehydration of L-carnitinyl-CoA to crotonobetainyl-CoA	caiD	ko:K08299	-
WP_000004443	J	Attaches a formyl group to the free amino group of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by promoting its recognition by IF2 and preventing the misappropriation of this tRNA by the elongation apparatus	fmt	ko:K00604	ko00670,ko00970,map00670,map00970
WP_000004488	S	Part of the ABC transporter complex MlaFEDB that actively prevents phospholipid accumulation at the cell surface. Probably maintains lipid asymmetry in the outer membrane by retrograde trafficking of phospholipids from the outer membrane to the inner membrane	mlaB	ko:K07122	ko02010,map02010
WP_000004609	EGP	Catalyzes the facilitated diffusion of 2-acyl-glycero-3- phosphoethanolamine (2-acyl-GPE) into the cell	lplT	ko:K08227	-
WP_000004655	O	with 'Suc-Ala-Xaa-Pro-Phe-4-nitroanilide' where Xaa is the amino acid tested, was found to be Phe Leu Ile Lys Ala Trp His Gln	fkpB	ko:K03774	-
