GeneID	COG_category	Description	Preferred_name	KEGG_ko	KEGG_Pathway
WP_000002299	H	Catalyzes the breakage of the C-P bond in alpha-D-ribose 1-methylphosphonate 5-phosphate (PRPn) forming alpha-D-ribose	phnJ	ko:K06163	ko00440,map00440
WP_000002446	K	Transcriptional regulator	ybdO	-	-
WP_000002542	U	Belongs to the peptidase S26 family	lepB	ko:K03100	ko02024,ko03060,map02024,map03060
WP_000002907	M	Recycling of diacylglycerol produced during the turnover of membrane phospholipid	dgkA	ko:K00901	ko00561,ko00564,ko01100,ko01110,ko04070,ko04072,ko05231,map00561,map00564,map01100,map01110,map04070,map04072,map05231
WP_000002953	S	Globally modulates RNA abundance by binding to RNase E (Rne) and regulating its endonucleolytic activity. Can modulate Rne action in a substrate-dependent manner by altering the composition of the degradosome	rraB	ko:K09893	-
WP_000003068	J	Belongs to the class-II aminoacyl-tRNA synthetase family	lysS	ko:K04567	ko00970,map00970
WP_000003178	S	von Willebrand factor type A domain	yegL	-	-
WP_000003317	J	Specifically methylates position 2 of adenine 2503 in 23S rRNA and position 2 of adenine 37 in tRNAs	rlmN	ko:K06941	-
WP_000003377	U	One of the proteins required for the normal export of preproteins out of the cell cytoplasm. It is a molecular chaperone that binds to a subset of precursor proteins, maintaining them in a translocation-competent state. It also specifically binds to its receptor SecA	secB	ko:K03071	ko02024,ko03060,ko03070,map02024,map03060,map03070
WP_000003671	O	Protease involved in the C-terminal processing of HyaB, the large subunit of hydrogenase 1	hyaD	ko:K03605	-
WP_000004049	Q	Catalyzes the conversion of taurine and alpha ketoglutarate to sulfite, aminoacetaldehyde and succinate. Required for the utilization of taurine (2-aminoethanesulfonic acid) as an alternative sulfur source. Pentane-sulfonic acid, 3- (N-morpholino)propanesulfonic acid and 1,3-dioxo-2- isoindolineethanesulfonic acid are also substrates for this enzyme	tauD	ko:K03119	ko00430,ko00920,map00430,map00920
WP_000004159	G	Major facilitator Superfamily	-	-	-
WP_000004397	I	Catalyzes the reversible dehydration of L-carnitinyl-CoA to crotonobetainyl-CoA	caiD	ko:K08299	-
WP_000004432	J	Attaches a formyl group to the free amino group of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by promoting its recognition by IF2 and preventing the misappropriation of this tRNA by the elongation apparatus	fmt	ko:K00604	ko00670,ko00970,map00670,map00970
WP_000004488	S	Part of the ABC transporter complex MlaFEDB that actively prevents phospholipid accumulation at the cell surface. Probably maintains lipid asymmetry in the outer membrane by retrograde trafficking of phospholipids from the outer membrane to the inner membrane	mlaB	ko:K07122	ko02010,map02010
WP_000004616	EGP	Catalyzes the facilitated diffusion of 2-acyl-glycero-3- phosphoethanolamine (2-acyl-GPE) into the cell	lplT	ko:K08227	-
WP_000004655	O	with 'Suc-Ala-Xaa-Pro-Phe-4-nitroanilide' where Xaa is the amino acid tested, was found to be Phe Leu Ile Lys Ala Trp His Gln	fkpB	ko:K03774	-
WP_000004770	J	With EpmB is involved in the beta-lysylation step of the post-translational modification of translation elongation factor P (EF-P) on 'Lys-34'. Catalyzes the ATP-dependent activation of (R)- beta-lysine produced by EpmB, forming a lysyl-adenylate, from which the beta-lysyl moiety is then transferred to the epsilon- amino group of EF-P 'Lys-34'	epmA	ko:K04568	-
WP_000004920	C	Hydrogenase-1 operon protein hyaF	hyaF	ko:K03618	-
WP_000005042	S	Inhibits all the catalytic activities of DNA gyrase by preventing its interaction with DNA. Acts by binding directly to the C-terminal domain of GyrB, which probably disrupts DNA binding by the gyrase	yacG	ko:K09862	-
WP_000005990	S	Bacterial protein of unknown function (DUF905)	-	-	-
WP_000006334	S	DcrB	-	-	-
WP_000006345	S	Phage late control gene D protein (GPD)	-	ko:K11904	ko03070,map03070
WP_000006806	F	Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP)	dxs	ko:K01662	ko00730,ko00900,ko01100,ko01110,ko01130,map00730,map00900,map01100,map01110,map01130
WP_000006887	F	Catalyzes the reversible hydrolysis of the amide bond within dihydroorotate. This metabolic intermediate is required for the biosynthesis of pyrimidine nucleotides	allB	ko:K01466	ko00230,ko01100,ko01120,map00230,map01100,map01120
WP_000007018	S	Its real enzymatic activity is not yet known. It was tested for general esterase, aminopeptidase, sulfatase, phosphatase, carbonic anhydrase, phosphodiesterase, and phosphotriesterase activities with the following substrates p- nitrophenyl acetate, L-alanine nitroanilide, p-nitrophenyl sulfate, bis(p-nitrophenyl) phosphate, paraoxon, and p-nitrophenyl phosphate. No enzymatic activity was detected with any of these non-specific substrates	php	ko:K07048	-
WP_000007101	F	DEAD-box RNA helicase involved in ribosome assembly. Has RNA-dependent ATPase activity and unwinds double-stranded RNA	rhlE	ko:K11927	ko03018,map03018
WP_000007286	C	radicals which are normally produced within the cells and which are toxic to biological systems	sodB	ko:K04564	ko04013,ko04068,ko04146,ko04211,ko04212,ko04213,ko05016,map04013,map04068,map04146,map04211,map04212,map04213,map05016
WP_000007523	E	Methylenetetrahydrofolate reductase	metF	ko:K00297	ko00670,ko00720,ko01100,ko01120,ko01200,ko01523,map00670,map00720,map01100,map01120,map01200,map01523
WP_000007629	U	The SecYEG-SecDF-YajC-YidC holo-translocon (HTL) protein secretase insertase is a supercomplex required for protein secretion, insertion of proteins into membranes, and assembly of membrane protein complexes	yajC	ko:K03210	ko02024,ko03060,ko03070,map02024,map03060,map03070
WP_000008066	S	-	-	ko:K18475	-
WP_000008957	K	Transcriptional repressor for the arsEFG operon. ArsE is a trans-acting regulatory protein which controls its own expression. The repressive effect of ArsE is alleviated by oxyions of III oxidation state of arsenic, antimony, and bismuth, as well as arsenate (As(V)) (By similarity)	arsR	ko:K03892	-
WP_000009226	L	Zn-finger domain associated with topoisomerase type I	-	-	-
WP_000009306	S	Uncharacterized small protein (DUF2158)	yodC	-	-
WP_000009364	U	Type IV secretion system coupling protein	traD	-	-
WP_000009749	N	flagella basal body P-ring formation protein FlgA	-	ko:K02386	ko02040,map02040
WP_000010107	Q	Methyl-transferase	rrmA	ko:K00563	-
WP_000010270	I	Catalyzes the synthesis of propionyl-CoA from propionate and CoA. Also converts acetate to acetyl-CoA but with a lower specific activity (By similarity)	prpE	ko:K01908	ko00640,ko01100,map00640,map01100
WP_000010777	K	Required for the expression of anaerobic nitric oxide (NO) reductase, acts as a transcriptional activator for at least the norVW operon. Activation also requires sigma-54	norR	ko:K12266	ko05132,map05132
